accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall,learning_rate
0.9479590654373169,0.21881328523159027,0.9507265686988831,0.9446121454238892,0.4326923191547394,8.656057357788086,0.4326923191547394,0.4326923191547394,0.0010000000474974513
0.9189526438713074,0.43438929319381714,0.9245973825454712,0.9117338061332703,0.5144230723381042,8.018434524536133,0.5144230723381042,0.5144230723381042,0.0010000000474974513
0.9167213439941406,0.3757801949977875,0.9267537593841553,0.9033994078636169,0.5384615659713745,2.982273578643799,0.5384615659713745,0.5384615659713745,0.0010000000474974513
0.91330885887146,0.3752342760562897,0.9268954396247864,0.8969681262969971,0.5240384340286255,2.636464834213257,0.5240384340286255,0.5240384340286255,0.0010000000474974513
0.9026119112968445,0.371359646320343,0.9204459190368652,0.8777398467063904,0.6105769276618958,1.8605570793151855,0.6086956262588501,0.6057692170143127,0.0010000000474974513
0.8868618011474609,0.3755183815956116,0.9201050996780396,0.8502427935600281,0.5625,1.8792355060577393,0.5652173757553101,0.5625,0.0010000000474974513
0.9035306572914124,0.3025570213794708,0.9312556385993958,0.8765586018562317,0.5961538553237915,1.4125081300735474,0.5990338325500488,0.5961538553237915,0.0010000000474974513
0.9044494032859802,0.2854525148868561,0.9308040142059326,0.8774773478507996,0.557692289352417,1.826705813407898,0.5582524538040161,0.5528846383094788,0.0010000000474974513
0.9142932295799255,0.291230171918869,0.9339557886123657,0.8927680850028992,0.4375,6.163115501403809,0.4375,0.4375,0.0010000000474974513
0.8934899568557739,0.41254016757011414,0.922446072101593,0.8414490222930908,0.44711539149284363,5.868961811065674,0.44878047704696655,0.4423076808452606,0.0010000000474974513
0.8812836408615112,0.4617380201816559,0.9048588871955872,0.8163800835609436,0.4086538553237915,2.423861026763916,0.41791045665740967,0.4038461446762085,0.0010000000474974513
0.8818086385726929,0.46959754824638367,0.9005078077316284,0.8262239098548889,0.44711539149284363,3.2456514835357666,0.45500001311302185,0.4375,0.0010000000474974513
0.7941330671310425,0.7116876244544983,0.8257834315299988,0.7297545671463013,0.4615384638309479,1.967973232269287,0.47236180305480957,0.45192307233810425,0.0005000000237487257
0.814280092716217,0.5220744609832764,0.851881742477417,0.7620422840118408,0.49038460850715637,1.8002607822418213,0.497560977935791,0.49038460850715637,0.0005000000237487257
0.8638929128646851,0.40947505831718445,0.8907408714294434,0.8276676535606384,0.5817307829856873,1.2361547946929932,0.5849999785423279,0.5625,0.0005000000237487257
0.90031498670578,0.29861876368522644,0.9188298583030701,0.8780679702758789,0.6875,0.9235210418701172,0.6930692791938782,0.6730769276618958,0.0005000000237487257
0.9161307215690613,0.2601866126060486,0.9303621053695679,0.8986743688583374,0.6778846383094788,1.1332844495773315,0.6780487895011902,0.6682692170143127,0.0005000000237487257
0.931618332862854,0.21473446488380432,0.9419263601303101,0.9164588451385498,0.7740384340286255,0.6107675433158875,0.7821782231330872,0.7596153616905212,0.0005000000237487257
0.9406089782714844,0.1896093487739563,0.9491242170333862,0.9316839575767517,0.754807710647583,0.6548370718955994,0.7560975551605225,0.745192289352417,0.0005000000237487257
0.9485496878623962,0.1669863760471344,0.954282283782959,0.9410684108734131,0.7163461446762085,0.8652709126472473,0.7170731425285339,0.7067307829856873,0.0005000000237487257
0.953012228012085,0.15269234776496887,0.9586721658706665,0.9438246488571167,0.6394230723381042,1.621996521949768,0.6519607901573181,0.6394230723381042,0.0005000000237487257
0.9551122188568115,0.15100200474262238,0.9603316783905029,0.9500590562820435,0.6057692170143127,1.7199680805206299,0.606796145439148,0.6009615659713745,0.0005000000237487257
0.9622653722763062,0.1267816126346588,0.9654146432876587,0.958065390586853,0.7932692170143127,0.6130832433700562,0.7922705411911011,0.7884615659713745,0.0005000000237487257
0.9461871385574341,0.17700599133968353,0.9506762027740479,0.9410684108734131,0.8990384340286255,0.32172292470932007,0.8990384340286255,0.8990384340286255,0.0002500000118743628
0.9594435095787048,0.13563962280750275,0.962529718875885,0.9558340907096863,0.9230769276618958,0.21812637150287628,0.9230769276618958,0.9230769276618958,0.0002500000118743628
0.9663341641426086,0.1127171441912651,0.9680205583572388,0.9634466171264648,0.9182692170143127,0.22924385964870453,0.9182692170143127,0.9182692170143127,0.0002500000118743628
0.9599685072898865,0.12410170584917068,0.9620587229728699,0.9568184614181519,0.9278846383094788,0.23757584393024445,0.9323671460151672,0.9278846383094788,0.0002500000118743628
